Galaxy,Inc_deg,D_Mpc,Rdisk_kpc,Rdisk_arcsec,Vflat_kms,outer_slope_ols,kappa_screening,screening_group
UGC06787,66.0,21.3,5.37,52.00202112676057,248.1,0.1678018918356392,eligible,Eligible for first-pass κ measurement
UGC06983,49.0,18.0,3.21,36.783924999999996,109.0,-0.0249523004161046,eligible,Eligible for first-pass κ measurement
UGC07125,90.0,19.8,3.38,35.21089393939394,65.2,0.1241630894328502,edge-on geometry (Inc > 75°),Excluded: edge-on geometry
UGC07603,78.0,4.7,0.53,23.259670212765958,61.6,0.1690379632780302,"edge-on geometry (Inc > 75°); small apparent disk (Rdisk_app < 30"")",Excluded: edge-on and too small
UGC08286,90.0,6.5,1.05,33.31973076923077,82.4,0.1225128669775174,edge-on geometry (Inc > 75°),Excluded: edge-on geometry
UGC08490,50.0,4.65,0.67,29.71990322580645,78.6,0.0214086901950045,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC08550,90.0,6.7,0.45,13.853619402985075,56.9,0.1586991537309327,"edge-on geometry (Inc > 75°); small apparent disk (Rdisk_app < 30"")",Excluded: edge-on and too small
UGC08699,73.0,39.3,3.09,16.21778244274809,182.4,-0.0381786194644565,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC09037,65.0,83.6,4.28,10.559978468899523,152.3,0.0639743328523854,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC09133,53.0,57.1,6.97,25.178056917688266,226.8,-0.1138162846791406,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC11455,90.0,78.6,5.93,15.561723282442749,269.4,-0.0934493836343983,"edge-on geometry (Inc > 75°); small apparent disk (Rdisk_app < 30"")",Excluded: edge-on and too small
UGC11914,31.0,16.9,2.44,29.78027218934911,288.1,0.1616929714892421,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
UGC12506,86.0,100.6,7.38,15.1315675944334,234.0,-0.1106045717544681,"edge-on geometry (Inc > 75°); small apparent disk (Rdisk_app < 30"")",Excluded: edge-on and too small
UGC12732,39.0,13.2,1.98,30.939749999999997,0.0,0.2725247493503248,eligible,Eligible for first-pass κ measurement
UGCA444,78.0,0.98,0.83,174.69382653061223,37.0,0.5462010636563299,edge-on geometry (Inc > 75°),Excluded: edge-on geometry
