Galaxy,Q,Rdisk_kpc,Vflat_kms,Inc_deg,D_Mpc,L36_1e9solLum,MHI_1e9solMass,N_total,N_invalid_total,N_outer_raw,N_outer_valid,outer_radius_threshold_kpc,outer_slope_ols,outer_slope_stderr,outer_slope_weighted,intercept_log10,weighted_intercept_log10,flatness_abs,stability_index_log10,rvalue_loglog,pvalue_loglog,accepted_main,exclusion_reason_primary,exclusion_reasons_all
NGC4085,2,1.65,131.5,82.0,18.0,21.724,1.349,7,0,3,3,4.125,0.13582212319531778,0.005141865297649323,0.13423456120849747,2.025684362512434,2.0267282688033745,0.13582212319531778,0.0003706602348306243,0.9992841799569729,0.024089232198213947,False,insufficient_outer_points,insufficient_outer_points
NGC4138,2,1.51,147.3,53.0,18.0,44.111,1.483,7,0,6,6,3.775,-0.2443673382755741,0.040271893346887626,-0.27018455268533664,2.464675624530297,2.486655487978829,0.2443673382755741,0.01657319678309021,-0.9497412810849996,0.0037254330157147717,False,insufficient_outer_points,insufficient_outer_points
NGC5005,1,9.45,262.2,68.0,16.9,178.72,1.28,18,0,0,0,23.625,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
NGC6195,1,13.94,251.7,62.0,127.8,391.076,20.907,23,0,1,1,34.85,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
NGC6789,2,0.31,0.0,43.0,3.52,0.1,0.017,4,0,0,0,0.775,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
UGC00191,1,1.58,0.0,45.0,17.1,2.004,1.343,9,0,3,3,3.95,0.1292482924329603,0.005042109590159771,0.12891333509521083,1.7948789151587192,1.795507078979969,0.1292482924329603,0.0007666114119769842,0.9992399370177425,0.024822608799579548,False,insufficient_outer_points,insufficient_outer_points
UGC00634,2,2.45,0.0,37.0,30.9,2.989,3.663,4,0,3,3,6.125,0.1451913218342807,0.07318730001324915,0.1724753913947274,1.856552662952766,1.8328618628855522,0.1451913218342807,0.011059726625642722,0.8929669560278467,0.29723917674354755,False,insufficient_outer_points,insufficient_outer_points
UGC00731,1,2.3,73.3,57.0,12.5,0.323,1.807,12,0,6,6,5.75,0.14458560060900033,0.040083025805728784,0.15737005754448488,1.725390178286797,1.7141084336352954,0.14458560060900033,0.007010475009989383,0.8745659827981902,0.022613768868480693,False,insufficient_outer_points,insufficient_outer_points
UGC00891,2,1.43,0.0,60.0,10.2,0.374,0.428,5,0,3,3,3.5749999999999997,0.323976215672325,0.027491378508550417,0.33061222795083134,1.5250508389642699,1.5213636181683006,0.323976215672325,0.003037663767681604,0.9964190429473228,0.05389200747470645,False,insufficient_outer_points,insufficient_outer_points
UGC01230,1,4.34,103.7,22.0,53.7,7.62,6.43,11,0,5,5,10.85,-0.08054267266840898,0.021043177789753693,-0.08288214257716774,2.1365973211516707,2.13990731696429,0.08054267266840898,0.007207841426382942,-0.9110574432008618,0.031413600932510256,False,insufficient_outer_points,insufficient_outer_points
UGC01281,1,1.63,55.2,90.0,5.27,0.353,0.294,25,0,3,3,4.074999999999999,0.1293024891312238,0.007760172683654863,0.12920773968597513,1.6650177323245712,1.6650808166893447,0.1293024891312238,0.0002786469768817365,0.9982039115077346,0.03816137460582659,False,insufficient_outer_points,insufficient_outer_points
UGC02023,2,1.55,0.0,19.0,10.4,1.308,0.477,5,0,0,0,3.875,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
UGC02259,2,1.62,86.2,41.0,10.5,1.725,0.494,8,0,5,5,4.050000000000001,0.12550403166862487,0.014844171914148115,0.1173040088085923,1.8380500843199492,1.8435718970317723,0.12550403166862487,0.0030589271935877642,0.9796542293558209,0.003473083416828451,False,insufficient_outer_points,insufficient_outer_points
UGC04278,1,2.21,91.4,90.0,9.51,1.307,1.116,25,0,5,5,5.525,0.5460558706994564,0.004436466169293779,0.5452417390871536,1.5165357346577777,1.517019685730263,0.5460558706994564,0.00023397192951155,0.9999010018791968,1.1824092931578071e-06,False,insufficient_outer_points,insufficient_outer_points
UGC04325,1,1.86,90.9,41.0,9.6,2.026,0.678,8,0,2,2,4.65,-0.09738989498018956,0.0,-0.0973898949801859,2.034211451543461,2.0342114515434577,0.09738989498018956,0.0,-1.0,0.0,False,insufficient_outer_points,insufficient_outer_points
UGC04483,2,0.18,0.0,58.0,3.34,0.013,0.032,8,0,5,5,0.44999999999999996,0.2432608773180803,0.05260187564722501,0.22308736970150175,1.3690073103351843,1.3671750707193953,0.2432608773180803,0.011764938191613828,0.9364730124552376,0.01903658295126754,False,insufficient_outer_points,insufficient_outer_points
UGC04499,1,1.73,72.8,50.0,12.5,1.552,1.1,9,0,5,5,4.325,0.17315532211094287,0.028821856061708104,0.16969505453373623,1.7168868172440754,1.7197048248872724,0.17315532211094287,0.005032844960640737,0.960864561019867,0.009238962060780846,False,insufficient_outer_points,insufficient_outer_points
UGC05005,1,3.2,98.9,41.0,53.7,4.1,3.093,11,0,6,6,8.0,0.28631452428821025,0.04294230607800263,0.25187920582712003,1.6061512303746701,1.6528268225910627,0.28631452428821025,0.017734844252978707,0.9578352575927244,0.002629316632938824,False,insufficient_outer_points,insufficient_outer_points
UGC05414,1,1.47,0.0,55.0,9.4,1.123,0.574,6,0,1,1,3.675,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
UGC05750,1,3.46,0.0,64.0,58.7,3.336,1.099,11,0,3,3,8.65,0.06627077028092454,0.04709138094176639,0.06094464795954311,1.8092937232289956,1.8161916543472878,0.06627077028092454,0.009520274660311835,0.8151556974497103,0.39330266879560144,False,insufficient_outer_points,insufficient_outer_points
UGC05764,2,1.17,0.0,60.0,7.47,0.085,0.163,10,0,2,2,2.925,-0.019112775650574256,0.0,-0.019112775650587454,1.7087790171860435,1.7087790171860509,0.019112775650574256,0.0,-0.9999999999999998,0.0,False,insufficient_outer_points,insufficient_outer_points
UGC05829,2,1.99,0.0,34.0,8.64,0.564,1.023,11,0,4,4,4.975,0.5676244785679555,0.03779779556893295,0.5687240212197474,1.3604722286858335,1.3596531933388987,0.5676244785679555,0.003180225815159867,0.9955951229132874,0.004404877086712555,False,insufficient_outer_points,insufficient_outer_points
UGC05918,2,1.66,0.0,46.0,7.66,0.233,0.297,8,0,1,1,4.1499999999999995,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
UGC05999,2,3.22,0.0,22.0,47.7,3.384,2.022,5,0,3,3,8.05,0.21210527345111926,0.022835341549048746,0.2110357846946611,1.7449876508238191,1.746208024485391,0.21210527345111926,0.0022267648749609665,0.9942545155834356,0.06827576921313103,False,insufficient_outer_points,insufficient_outer_points
UGC06399,1,2.05,85.0,75.0,18.0,2.296,0.674,9,0,4,4,5.125,0.134722948435574,0.015989495291597367,0.13428535607640857,1.8203185016654706,1.8207394380407529,0.134722948435574,0.0017091910328009058,0.9862048452807688,0.013795154719231205,False,insufficient_outer_points,insufficient_outer_points
UGC06628,2,2.82,41.8,20.0,15.1,3.739,1.5,7,0,1,1,7.05,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
UGC06667,1,5.15,83.8,89.0,18.0,1.397,0.809,9,0,0,0,12.875,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
UGC06818,2,1.39,71.2,75.0,18.0,1.588,1.079,8,0,5,5,3.4749999999999996,0.5867979923999789,0.16129007760194178,0.5662467810419911,1.3925194438476634,1.4115155615120265,0.5867979923999789,0.03308419525180835,0.9028993416171811,0.035788073991309226,False,insufficient_outer_points,insufficient_outer_points
UGC06917,1,2.76,108.7,56.0,18.0,6.832,2.023,11,0,5,5,6.8999999999999995,0.25027931069470793,0.03135636440001021,0.2489319986215573,1.7906782220096913,1.7915499448674932,0.25027931069470793,0.0037813721323485525,0.9772555090887496,0.004103561543659373,False,insufficient_outer_points,insufficient_outer_points
UGC06923,2,1.44,79.6,65.0,18.0,2.89,0.809,6,0,3,3,3.5999999999999996,0.10159041095483917,0.026653914973029602,0.09922604404802998,1.8353950093020217,1.8371250921523303,0.10159041095483917,0.0018985892435491871,0.9672626822807261,0.1633460535441365,False,insufficient_outer_points,insufficient_outer_points
UGC06930,1,3.94,107.2,32.0,18.0,8.932,3.237,10,0,5,5,9.85,0.01008473573610105,0.0192572145681354,0.013835294834444165,2.021988429383227,2.0180957800036308,0.01008473573610105,0.0027218592351707324,0.2894111936816701,0.6367209143980243,False,insufficient_outer_points,insufficient_outer_points
UGC07089,2,2.26,0.0,80.0,18.0,3.585,1.214,12,0,6,6,5.6499999999999995,0.33563767573094483,0.062333690017028626,0.3541984990849807,1.5727621701978611,1.555330391390822,0.33563767573094483,0.008738650712591969,0.93742348739257,0.005751210717549364,False,insufficient_outer_points,insufficient_outer_points
UGC07151,1,1.25,73.5,90.0,6.87,2.284,0.616,11,0,5,5,3.125,0.21509077755161954,0.014991277878398091,0.21726469250514147,1.7210501339828443,1.7197201844145833,0.21509077755161954,0.0020282650250658153,0.9927920858150104,0.0007338007613207016,False,insufficient_outer_points,insufficient_outer_points
UGC07232,2,0.29,0.0,59.0,2.83,0.113,0.046,4,0,1,1,0.725,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
UGC07261,2,1.2,74.7,30.0,13.1,1.753,1.388,7,0,4,4,3.0,0.1555990833274494,0.02423906663389949,0.15378224532853,1.755275197903978,1.756614680082266,0.1555990833274494,0.0035941863790141374,0.9765819737006204,0.02341802629937961,False,insufficient_outer_points,insufficient_outer_points
UGC07323,1,2.26,0.0,47.0,8.0,4.109,0.722,10,0,1,1,5.6499999999999995,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
UGC07399,1,1.64,103.0,55.0,8.43,1.156,0.745,10,0,4,4,4.1,0.25264726158752804,0.005697640046120058,0.2517629820650925,1.8258560852873007,1.8264848924749226,0.25264726158752804,0.0005342140424524111,0.9994918058401197,0.0005081941598803483,False,insufficient_outer_points,insufficient_outer_points
UGC07524,1,3.46,79.5,46.0,4.74,2.436,1.779,31,0,6,6,8.65,0.08988615029688565,0.1608310168263357,0.029585718266347108,1.8194427862604974,1.8773520420597376,0.08988615029688565,0.00919930662462157,0.2691322928055347,0.6060484816142172,False,insufficient_outer_points,insufficient_outer_points
UGC07559,2,0.58,0.0,61.0,4.97,0.109,0.169,7,0,3,3,1.45,0.22891530120003187,0.011457233915240879,0.22840460468110516,1.414761617171539,1.4149341745961852,0.22891530120003187,0.0008483262614630064,0.9987498419581045,0.03183631809671058,False,insufficient_outer_points,insufficient_outer_points
UGC07577,2,0.9,0.0,63.0,2.59,0.045,0.044,9,0,0,0,2.25,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
UGC07608,1,1.5,0.0,25.0,8.21,0.264,0.535,8,0,2,2,3.75,0.36375470670125803,0.0,0.36375470670125476,1.5935881393550129,1.5935881393550149,0.36375470670125803,0.0,0.9999999999999998,0.0,False,insufficient_outer_points,insufficient_outer_points
UGC07690,2,0.57,57.4,41.0,8.11,0.858,0.39,7,0,5,5,1.4249999999999998,-0.09407061398264702,0.004167021686228507,-0.09409444072677464,1.805992006528799,1.8060067284382693,0.09407061398264702,0.0010489288150039454,-0.9970696291379698,0.00019033854705308723,False,insufficient_outer_points,insufficient_outer_points
UGC07866,2,0.61,0.0,44.0,4.57,0.124,0.118,7,0,3,3,1.525,0.4861276306190675,0.021714835293865663,0.4881356148149053,1.341172363835232,1.3405769417548732,0.4861276306190675,0.0015525612603250977,0.9990038307140757,0.028418277688174745,False,insufficient_outer_points,insufficient_outer_points
UGC08837,2,1.72,0.0,80.0,7.21,0.501,0.32,8,0,0,0,4.3,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
UGC09992,2,1.04,33.6,30.0,10.7,0.336,0.318,5,0,2,2,2.6,0.120545460100719,0.0,0.12054546010071836,1.4641783739147274,1.4641783739147278,0.120545460100719,0.0,1.0,0.0,False,insufficient_outer_points,insufficient_outer_points
UGC10310,1,1.8,71.4,34.0,15.2,1.741,1.196,7,0,3,3,4.5,0.09508414551697322,0.01188246975351125,0.09486896301448353,1.7805563050255226,1.7807347593546998,0.09508414551697322,0.0008734414681209532,0.9922817916598873,0.07914675195921851,False,insufficient_outer_points,insufficient_outer_points
UGC11557,2,2.75,0.0,30.0,24.2,12.101,2.605,12,0,3,3,6.875,0.19433114475704938,0.0014010639108171118,0.19426780444283276,1.7280053188376627,1.7280649622660538,0.19433114475704938,0.0001235657774597701,0.9999740113243523,0.00458974054480871,False,insufficient_outer_points,insufficient_outer_points
UGC11820,1,2.08,0.0,45.0,18.1,0.97,1.977,10,0,5,5,5.2,0.32135262865505176,0.019952434157611727,0.32016377156490583,1.5488906164380662,1.5536780656225153,0.32135262865505176,0.0065139402222911145,0.994267129305069,0.0005206168997336653,False,insufficient_outer_points,insufficient_outer_points
UGC12632,1,2.42,71.7,46.0,9.77,1.301,1.744,15,0,7,7,6.05,0.16350898405004288,0.01847998777153245,0.15785947634850722,1.700570807787627,1.7058811285960447,0.16350898405004288,0.003291184239460036,0.9695181029788965,0.00030649954718317047,False,insufficient_outer_points,insufficient_outer_points
UGCA442,1,1.18,56.4,64.0,4.35,0.14,0.263,8,0,5,5,2.9499999999999997,0.19028987605438985,0.06104286786429789,0.14017721928554006,1.6148699581353223,1.6413897013877834,0.19028987605438985,0.013798311522922276,0.8741324090465752,0.052581200533773735,False,insufficient_outer_points,insufficient_outer_points
