Galaxy,R_kpc,Vobs_kms,errV_kms,Vgas_kms,Vdisk_kms,Vbul_kms,Vbar_kms,gobs_km2s2_per_kpc,gbar_km2s2_per_kpc,log10_gobs,log10_gbar,is_outer
ESO563-G021,16.83,314.0,13.5,15.18,283.33,0.0,283.7363587910439,5858.348187759953,4783.500968508616,3.7677751801706063,3.6797458662296334,True
ESO563-G021,18.56,317.0,12.7,22.91,276.47,0.0,277.4176075882712,5414.2780172413795,4146.580226293105,3.7335405525526597,3.617690072346905,True
ESO563-G021,20.3,319.0,10.4,33.06,272.19,0.0,274.1903712751416,5012.857142857143,3703.4659950738915,3.7000853282011494,3.5686083613490105,True
ESO563-G021,21.94,318.0,10.8,33.62,273.0,0.0,275.0623645648383,4609.1157702825885,3448.4641932543295,3.663617616730173,3.537625720899763,True
ESO563-G021,23.68,317.0,9.3,39.67,271.34,0.0,274.2245512349323,4243.623310810811,3175.637858952702,3.627736826384621,3.501830970825013,True
ESO563-G021,25.41,317.0,7.23,44.98,261.62,0.0,265.4585180400132,3954.7028728846913,2773.247729240457,3.5971138593851335,3.442988666057017,True
ESO563-G021,27.06,312.0,8.39,46.29,252.97,0.0,257.17034238029856,3597.339246119734,2444.071877309682,3.5559813957752815,3.3881139738536397,True
ESO563-G021,28.8,312.0,8.37,43.21,243.84,0.0,247.63895028851982,3380.0,2129.342003472222,3.5289167002776547,3.32824542108702,True
ESO563-G021,30.53,311.0,11.5,45.08,233.85,0.0,238.15547211853016,3168.0641991483785,1857.7801801506714,3.5007939737550133,3.2689943252683107,True
ESO563-G021,32.18,310.0,14.5,52.43,224.75,0.0,230.78446091537447,2986.3269111249224,1655.1108576755748,3.4751373479055347,3.2188270876974747,True
ESO563-G021,33.91,313.0,15.9,59.7,216.21,0.0,224.30081163473304,2889.0887643762903,1483.6583338248304,3.460760885314811,3.1713339003913994,True
ESO563-G021,35.65,320.0,8.83,61.56,208.83,0.0,217.71449767987434,2872.3702664796633,1329.582117812062,3.4582404224519276,3.1237151654444197,True
ESO563-G021,37.3,321.0,7.88,63.33,202.65,0.0,212.31512287164097,2762.4932975871316,1208.5177319034854,3.4413012330010564,3.0822530269499926,True
